col1_1,TIC ID_1,TOI_1,Paper disp,Group Comments,Sector(s),Period [Days],Duration [Hours],Depth [%],Planet Radius [RJ],Star Radius [Râ],TESSmag,Delta TESSmag,col1_2,TIC ID_2,TOI_2,Previous CTOI,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ESM,TSM,Predicted Mass (M_Earth),Time Series Observations,Spectroscopy Observations,Imaging Observations,TESS Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,Planet Name,Pipeline Signal ID,Source,Detection,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM Dec err (mas/yr),Epoch (BJD),Epoch (BJD) err,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Stellar Metallicity,Stellar Metallicity err,Stellar Mass (M_Sun),Stellar Mass (M_Sun) err,Sectors,Date TOI Alerted (UTC),Date TOI Updated (UTC),Date Modified,Comments
756,445254275,2029.01,FP,"Vshape, LowSNR, FSCP, CO",24,2.57134,3.82,0.09,0.96,3.56,10.9415,7.59,2078,445254275,2029.01,,5,5,5,5,5,5,5,12.2,31.6,81.41,0,2,2,PC,FP,10.9415,0.016,,1,qlp,QLP,00:48:51.88,59:23:12.18,2.8489999999999998,0.046,-1.879,0.043,2458767.19721,0.0042,2.57134,8.0E-5,3.824,0.9109999999999999,0.999337,0.002896,920.0,2.66768,10.7406,0.8261229999999999,5344.87,2382.0,17.0,910.693,28.9095,7125.0,162.4,3.54,0.08,3.56,0.17,,,1.59,0.257996,24,2020-06-19,2020-06-19,2022-12-14 12:09:24,potential centroid offset; some depth-aperture correlation; large star
770,455962313,1517.01,PC,"NT, FSOP, LowSNR","17,18",4.51083,2.39,0.09,0.0,0.0,9.599,7.66,1536,455962313,1517.01,,5,5,5,5,5,5,5,10.4,60.4,19.54,0,3,0,PC,FP,9.599,0.043,,1,qlp,QLP,22:40:08.78,65:26:23.02,-0.9,2.2,-8.2,2.3,2458766.04222,0.00387,4.51083,6.0E-4,2.391,0.442,0.934135,0.0018789999999999998,860.0,1.73092,,,,,18.0,184.762,,,,,,,,,,,,"17,18",2019-12-05,2020-05-20,2022-12-14 12:09:24,Retired as TFOP NEB FP; no stellar parameters; could be twice the period
772,458914949,703.02,FP,"NT, CO, LowSNR",18,6.26821,4.48,0.13,0.87,2.49,10.2543,7.25,1606,458914949,1587.01,,5,5,5,5,5,5,5,6.1,30.9,50.22,5,8,6,PC,FP,10.2543,0.022000000000000002,,1,qlp,QLP,03:13:41.62,61:54:28.19,14.079,0.048,-12.14,0.06,2458796.59728,0.00643,12.523,0.0031100000000000004,4.441,0.484,1.129753,0.001786,1040.0,1.64488,8.08136,0.454244,350.233,1205.0,12.0,563.997,11.627,7275.0,123.0,3.91,0.08,2.51,0.09,,,1.87,0.292356,"18,19",2019-12-19,2019-12-19,2022-12-14 12:09:24,Centroid offset; depth-aperture correlation
779,461387302,1624.01,FP,"LCMOD, CO, FSCP, LowSNR, NT","17,18",5.80783,4.91,0.06,0.27,1.27,10.2763,8.13,1643,461387302,1624.01,,5,5,5,5,5,5,5,3.4,34.3,9.59,0,4,0,PC,FP,10.2763,0.006,,1,qlp,QLP,00:12:05.23,66:39:01.88,19.05,0.046,-8.532,0.045,2458765.9501799997,0.01061,5.80783,0.00195,4.91,0.871,0.608183,0.001245,560.0,1.14635,3.06399,0.200374,1025.36,1576.0,11.0,234.455,1.54,6406.0,179.8,4.34,0.09,1.27,0.06,,,1.287,0.22141999999999998,"17,18",2019-12-19,2020-05-20,2022-12-14 12:09:24,Centroid offset; significant depth-aperture correlation; TFOP NEB
783,468845640,1396.01,FP,"LowSNR, FSCP, CO","16,17",3.99307,4.78,0.39,0.57,0.93,10.3217,6.02,1406,468845640,1396.01,,5,5,5,5,5,5,5,34.1,135.9,34.8,1,2,2,PC,FP,10.3217,0.006,,1,qlp,QLP,22:31:20.18,53:47:45.79,84.014,0.22699999999999998,18.619,0.32,2458741.72914,0.0022199999999999998,3.99307,6.3E-4,4.783,0.5670000000000001,4.234813,0.0037549999999999997,3892.81,3.4588,6.35126,0.329438,1282.52,1667.0,49.0,102.931,1.5595,4731.1,101.1,4.35,0.09,0.93,0.04,,,0.752,0.09193860000000001,"16,17",2019-10-30,2019-10-30,2022-12-14 12:09:24,TFOP FP
784,469782185,1123.01,PC,"TD, Vshape, Short-P,model poor",13,1.20928,1.89,1.19,1.35,1.27,10.2398,4.81,1108,469782185,1123.01,,5,5,5,5,3,5,5,248.0,188.3,317.0,3,0,1,PC,APC,10.2398,0.006,,1,qlp,QLP,19:29:33.96,-37:18:14.43,-20.519000000000002,0.15,1.569,0.138,2458658.04087,2.6000000000000003E-4,1.20928,2.0E-5,1.886,0.025,12.979951,0.896991,11883.8,825.818,15.1764,4.0994,,,210.0,161.93200000000002,2.2055,5159.8,156.3,4.23,0.08,1.27,0.07,,,0.96,0.12209300000000001,13,2019-08-22,2019-08-22,2022-12-14 12:09:24,Large candidate
785,470315428,1673.01,FP,"FSCP, SS, pCO, Vshape, LCMOD","18,19",1.08625,2.53,0.11,0.41,1.4,10.22,7.39,1695,470315428,1673.01,,5,5,5,5,5,5,5,18.3,79.2,20.36,2,1,4,PC,FP,10.2851,0.006,,1,qlp,QLP,04:18:35.64,52:51:54.12,19.482,1.018,20.031,1.084,2458818.19746,0.00313,1.08625,3.6E-4,2.5340000000000003,0.268,1.205837,0.00168,1110.0,1.5469700000000002,4.6512199999999995,0.714178,4081.88,2226.0,17.0,222.358,50.771,5562.6,419.2,,,1.4,0.21,,,,,"18,19",2020-01-29,2020-01-29,2022-12-14 12:09:24,Matches to a nearby star 668056616 at Tmag=10.3
786,470709084,1515.01,pFP,"FSOP, pCO, LCMOD,FSCP, LowSNR, NT","17,18",3.6632800000000003,2.26,0.11,0.69,2.32,10.4433,7.42,1534,470709084,1515.01,,5,5,5,5,5,5,5,14.6,40.8,46.25,2,2,1,PC,FP,10.4433,0.006,,1,qlp,QLP,23:49:28.34,61:40:58.15,-0.929,0.045,13.53,0.048,2458764.91445,0.00521,3.6632800000000003,9.0E-4,2.255,0.49200000000000005,1.173229,0.002944,1080.0,2.7113400000000003,7.712339999999999,,548.091,1347.0,14.0,337.288,3.4055,6370.0,122.0,3.81,,2.32,,,,1.27,,"17,18",2019-12-05,2020-05-20,2022-12-14 12:09:24,Possible depth-aperture correlation
796,31634579,2658.01,PC,"UC, pVshape, FSOP, pTD","1,2,3,27,28",8.875924900000001,3.7439999999999998,,,1.02,13.4228,,2735,31634579,2658.01,,3,4,3,3,1,4,4,26.8,49.3,317.0,3,0,0,PC,PC,13.4228,0.006,,1,qlp,QLP,03:01:29.94,-68:56:42.89,7.19,0.032,13.186,0.027999999999999997,2459079.093758,0.001026,8.875924900000001,1.59E-5,3.7439999999999998,0.099,31.348284999999997,0.006761,28460.0,6.2274199999999995,17.3933,,105.057,891.0,54.0,666.807,6.7165,5528.3,122.8,4.38,,1.02,,,,1.03,,"1,2,3,27,28",2021-05-04,2021-05-04,2022-12-14 12:09:24,found in faint-star QLP search; warm Jupiter candidate
797,122695048,3726.01,PC,"UC, FSCP, pSS, FSOP, pTD, LCMOD",19,4.847033000000001,2.426,,,1.05,13.0789,,3804,122695048,3726.01,,3,4,3,3,1,4,4,57.0,86.6,317.0,0,0,0,PC,PC,13.0789,0.011000000000000001,,1,qlp,QLP,05:09:11.59,38:13:42.86,-14.073,0.042,-5.099,0.028999999999999998,2458838.130711,0.0046611000000000005,4.847033000000001,0.0020441,2.426,0.308,31.929562,0.089213,28980.0,82.1648,18.201,,176.396,1015.0,11.0,491.62199999999996,6.515,5925.1,131.8,4.43,,1.05,,-0.377,0.126,1.08,,19,2021-06-23,2021-06-23,2022-12-14 12:09:24,found in faint-star QLP search
