,col1,TIC ID,TOI,Previous CTOI,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ESM,TSM,Predicted Mass (M_Earth),Time Series Observations,Spectroscopy Observations,Imaging Observations,TESS Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,Planet Name,Pipeline Signal ID,Source,Detection,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM Dec err (mas/yr),Epoch (BJD),Epoch (BJD) err,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Stellar Metallicity,Stellar Metallicity err,Stellar Mass (M_Sun),Stellar Mass (M_Sun) err,Sectors,Date TOI Alerted (UTC),Date TOI Updated (UTC),Date Modified,Comments
610,859,34077285,880.02,,1,4,1,1,4,4,4,14.5,118.2,8.16,6,19,8,PC,1,9.2563,0.006,,2,spoc,SPOC,06:16:39.47,-13:59:14.41,0.962,0.056,23.237,0.056,2202.2953330003656,0.0029818339,2.57359428213569,0.00054787163,0.10337526666533209,0.1769986,0.803308,0.05643400000000001,739.600828260906,51.97616,2.77792285426705,0.22940397,301.866109721619,1063.09809280737,12.548503,60.6679,0.11205,4935.0,122.3,4.52,0.09,0.816999,0.0517714,,,0.81,0.0991949,33,2021-02-19,2021-02-11,2022-12-14 12:09:24,part of potential multi; 2.57 day signal
611,860,34077285,880.03,,1,4,1,1,4,4,4,4.0,69.3,8.57,6,19,8,PC,1,9.2563,0.006,,3,qlp,SPOC,06:16:39.47,-13:59:14.41,0.962,0.056,23.237,0.056,2220.6596909998916,0.0017929000000000005,14.3318853,8.31e-05,0.0665,0.398,1.075411,0.003246,990.0,2.98933,2.87022,0.239215,9.971,495.0,14.0,60.6679,0.11205,4935.0,122.3,4.52,0.09,0.82,0.05,,,0.81,0.0991949,"6,33",2021-02-19,2021-03-01,2022-12-14 12:09:24,14.3 day signal; part of potential multi
630,880,210873792,900.01,,1,4,1,1,3,4,4,3.7,37.8,8.09,0,1,3,PC,1,11.9085,0.006,,1,spoc-s01-s39-b0A-PC,SPOC,16:23:37.23,-31:22:24.87,-89.072,0.109,-117.306,0.077,1626.4845389998518,0.005581369599999999,4.84941081578386,5.621754e-05,0.21777653346422207,0.60119057,1.457971,0.13461199999999998,1341.94012579746,123.974266,2.76503406329275,0.4910216,56.85611712636379,700.348251694705,9.014666,121.037,0.742,3861.0,142.0,4.71767,0.400347,0.6807109713554379,0.0617663,,,0.6659999999999999,0.0818058,"12,39",2019-07-15,2022-03-22,2022-12-14 12:09:24,slight centroid offset to NE
631,881,214361331,901.01,,3,4,3,3,3,4,4,76.6,231.2,86.52,5,1,1,PC,1,9.6877,0.006,,1,spoc,SPOC,17:24:15.08,-50:23:09.78,-9.514,0.079,-22.793000000000006,0.069,2362.2478249999695,0.0008366277000000001,3.23084229205584,0.00020717378,0.038677913466783,0.08167249,2.638754,0.16448,2427.4314637798,151.48016,11.1443639928514,15.465436,1292.7015226032402,1529.30572614935,17.397303,190.467,1.56,7062.0,206.0,4.49596,0.535849,1.3843599557876598,0.065,,,1.24,0.185574,"12,39",2019-07-15,2021-09-24,2022-12-14 12:09:24,Low priority; possible EB; possibly synchronized
634,884,261257684,904.01,,1,4,1,1,4,4,4,2.7,61.3,7.08,6,4,6,PC,1,10.845999999999998,0.006999999999999999,,1,spoc-s01-s39-b0A-PC,UNKNOWN,05:57:29.11,-83:07:47.02,-28.941,0.032,110.858,0.033,2366.6286410000175,0.0045236040000000005,10.877267881252699,3.553953e-05,0.12115426685048918,0.14771204,2.031688,0.090431,1869.50424041447,83.286354,2.55603890014156,0.1428659,8.31687137765208,433.12150333386893,20.833632,46.0891,0.0349,3992.0,170.0,4.61929,0.240707,0.5324389934539789,0.0157936,,,0.529185,0.020272400000000003,"12,13,27,38,39",2019-07-15,2022-03-18,2022-12-14 12:09:24,v-shaped; potentially multi in habitable zone
635,885,261257684,904.02,TIC 261257684.02,1,4,1,1,4,4,4,0.1,28.2,6.26,6,4,6,PC,1,10.845999999999998,0.006999999999999999,,2,spoc-s01-s39-b0A-PC,SPOC,05:57:29.11,-83:07:47.02,-28.941,0.032,110.858,0.033,1714.3511900003068,0.007845261,83.9996067446812,0.0051153237,0.21170960784179874,0.4405461,2.146051,0.207983,1974.6338281657104,191.5411,2.37754554034423,0.47776812,0.0858097740796583,138.039678524057,10.529483,46.0891,0.0349,3992.0,170.0,4.61929,0.240707,0.5324389934539789,0.0157936,,,0.529185,0.020272400000000003,"12,13,27,38,39",2022-04-20,2022-04-20,2022-12-14 12:09:24,potential multi; CTOI from Hugh Osborn; alerted at CTOI period which is 1/4 of period in SPOC multisector report
640,890,364107753,909.01,,5,5,5,5,5,5,5,10.6,110.9,5.77,1,1,1,PC,0,7.0514,0.006,,1,spoc,SPOC,16:45:27.01,-71:50:22.52,40.743,0.043,53.07,0.058,1628.0873639998026,0.002411,3.904822,0.000618,0.18574158333333335,0.278827,0.30823,0.017284,283.849684,15.91915,2.734598,0.815755,871.5459973965138,1385.77374134637,14.474022,51.8209,0.0908,6059.06,50.4474,4.29,0.11,1.57848,0.17583900000000002,-0.51,0.05,1.13,0.15203599999999998,12,2019-07-15,2019-07-15,2022-12-14 12:09:24,High priority (2.7 Rp); bright; nearby star
706,995,97700520,1013.01,,5,5,5,5,5,5,5,,,117.29,5,1,3,EB,0,7.6095,0.006,,1,spoc,SPOC,07:09:08.66,-31:56:00.68,-3.973,0.063,7.061,0.071,2232.2483220002614,0.00051247806,5.42555479046561,0.0002073206,0.16515614249955832,0.02114011,16.342886,0.259493,14939.6342221973,238.97354,,,273.588069576468,1037.2753045477,44.632336,510.295,9.32,8868.7,809.8,,,,,,,,,"7,34",2019-07-24,2021-03-18,2022-12-14 12:09:24,hot star; transiting object might be too big; Gaia DR2 delta r mag for 97700562 = 8 mag
744,1035,317060587,1052.01,,3,4,3,3,3,4,4,3.4,37.6,8.42,0,3,2,PC,1,9.0197,0.006,,1,spoc-s01s13-b0A,SPOC,22:30:02.47,-75:38:47.62,-63.327,0.046,-1.942,0.044,1332.941229000222,0.0026419759000000003,9.13980396599197,0.000110879846,0.12880389878747958,0.6627002,0.389215,0.036613,358.415780102206,33.721474,3.06298549735975,2.8175755,243.01176298976398,1006.99328285134,10.624502,129.804,0.5575,5958.2,76.0,4.34,0.12,1.58,0.165123,-0.25,0.1,1.09,0.144301,"1,13",2019-08-16,2021-12-07,2022-12-14 12:09:24,Low priority; similar epoch and period from sector 1
749,1040,323132914,1057.01,,1,4,1,1,3,4,4,0.9,34.1,8.25,1,2,1,PC,1,9.4091,0.006,,1,spoc-s01-s39-b0A-PC,SPOC,08:31:59.26,-78:24:27.23,117.721,0.081,-24.565,0.076,1607.3451220002025,0.0026410809000000004,51.1710413945191,0.0002811759,0.2699732727925705,0.3639887,0.93941,0.044648,864.8547045105161,41.121582,2.7958806870192,0.54232544,11.214562391417198,466.7295867870269,19.600227,98.2855,0.26725,5599.0,187.0,4.46138,0.26998,0.943355977535248,0.045658300000000006,,,1.01,0.127458,"10,11,12,13,37,38,39",2019-08-16,2022-03-22,2022-12-14 12:09:24,potential level one candidate
