,Unnamed: 0,TIC ID,ExoFOP-TESS,Sectors,Epoch [BJD],Period [Days],Duration [Hours],Depth [ppm],Depth [%],Rtranister [RJup],Rstar [RSun],Tmag,Delta Tmag,Paper disp (LC),Paper comm
222,227,53593457,https://exofop.ipac.caltech.edu/tess/target.php?id=53593457,6,1468.3319999999367,0.5308930000000001,0.07958333333333333,33454.0,3.35,0.33,0.19,15.0404,3.69,0,SS
225,230,53735810,https://exofop.ipac.caltech.edu/tess/target.php?id=53735810,9,1544.1690000002272,4.086530000000001,0.18541666666666667,7379.0,0.74,1.37,1.75,11.248,5.33,1,WASP 66 b
226,231,53750200,https://exofop.ipac.caltech.edu/tess/target.php?id=53750200,"6,7",1469.001000000164,4.19268,0.07208333333333333,4240.0,0.42,0.98,1.63,12.2309,5.93,1,HATS-41 b
228,234,54085154,https://exofop.ipac.caltech.edu/tess/target.php?id=54085154,9,1543.2999999998137,1.001166,0.07458333333333333,278.0,0.03,0.21,1.31,8.2046,8.89,0,"short-P,lowSNR,UC,Vshape"
231,238,54962195,https://exofop.ipac.caltech.edu/tess/target.php?id=54962195,9,1544.3909999998286,2.5986540000000002,0.0675,1911.0,0.19,0.2,0.5,11.7602,6.80,1,
232,239,54962195,https://exofop.ipac.caltech.edu/tess/target.php?id=54962195,9,1543.3939999998547,4.698465000000001,0.07666666666666667,2101.0,0.21,0.2,0.5,11.7602,6.69,1,
233,240,55092869,https://exofop.ipac.caltech.edu/tess/target.php?id=55092869,9,1544.341000000015,4.7360940000000005,0.29625,2436.0,0.24,1.22,2.72,7.3212,6.53,1,KELT-11-b
236,243,55488511,https://exofop.ipac.caltech.edu/tess/target.php?id=55488511,5,1439.5419999998994,3.3454309999999996,0.04125,1625.0,0.16,0.21,0.58,11.6434,6.97,1,"pCO,LOWSNR"
237,244,55525572,https://exofop.ipac.caltech.edu/tess/target.php?id=55525572,"4,5,6,8,9",1454.660000000149,83.899467,0.5533333333333333,1195.0,0.12,0.63,1.93,9.8467,7.31,1,Single Event
238,245,55559618,https://exofop.ipac.caltech.edu/tess/target.php?id=55559618,"1,2,3,4,5,6",1346.4169999998994,21.375110999999997,0.18208333333333335,772.0,0.08,0.27,1.06,10.749,7.78,1,single event per sector
239,246,55650590,https://exofop.ipac.caltech.edu/tess/target.php?id=55650590,"1,2,3,4,5,6",1325.5419999998994,0.73632,0.023333333333333334,1458.0,0.15,0.36,1.0,12.4312,7.09,0,"pSS,FSCP"
242,249,58542531,https://exofop.ipac.caltech.edu/tess/target.php?id=58542531,19,1816.4120000000112,3.057601,0.05625,1195.0,0.12,0.21,0.7,9.794,7.31,1,
243,250,59003115,https://exofop.ipac.caltech.edu/tess/target.php?id=59003115,5,1439.0759999998845,2.2941849999999997,0.11458333333333333,697.0,0.07,0.17,0.71,11.3075,7.89,1,"UC, LOWSNR"
244,251,59843967,https://exofop.ipac.caltech.edu/tess/target.php?id=59843967,6,1468.5209999997169,2.516825,0.10541666666666666,17325.0,1.73,1.09,0.93,12.7632,4.40,1,HATS-4 b
245,252,59859387,https://exofop.ipac.caltech.edu/tess/target.php?id=59859387,"7,8",1492.6159999999218,1.12027,0.07083333333333333,1880.0,0.19,1.15,1.5,10.2761,6.81,1,"LCMOD, Vshape"
246,253,61098812,https://exofop.ipac.caltech.edu/tess/target.php?id=61098812,23,1931.2360000000335,3.6935800000000003,0.18791666666666665,8602.0,0.86,1.53,1.78,9.87229,5.16,1,WASP 54- b
